Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
New Caledonia,Western Pacific,80058,28041.527,0,0,0,314,109.983,0,0,0
French Polynesia,Western Pacific,78488,27940.82,40,14.24,0,649,231.036,0,0,0
Eswatini,Africa,74627,6432.453,0,0,0,1425,122.827,0,0,0
Guyana,Americas,73162,9301.61,29,3.687,0,1298,165.024,0,0,0
Belize,Americas,70782,17801.06,0,0,0,688,173.026,0,0,0
Fiji,Western Pacific,68918,7687.923,0,0,0,883,98.5,0,0,0
Madagascar,Africa,68236,246.419,25,0.09,0,1424,5.142,0,0,0
Jersey,Europe,66391,61589.484,0,0,0,161,149.356,0,0,0
Sudan,Eastern Mediterranean,63993,145.939,0,0,0,5046,11.508,0,0,0
Mauritania,Africa,63617,1368.208,0,0,0,997,21.442,0,0,0
Cabo Verde,Africa,63473,11416.274,50,8.993,0,413,74.282,0,0,0
Bhutan,South-East Asia,62666,8121.481,3,0.389,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,53740,451.947,9,0.076,0,15,0.126,0,0,0
Guam,Western Pacific,51179,30323.804,69,40.883,0,413,244.704,0,0,0
Seychelles,Africa,50937,51793.141,0,0,0,172,174.891,0,0,0
Gabon,Africa,48981,2200.667,0,0,0,306,13.748,0,0,0
Andorra,Europe,47974,62090.209,29,37.533,0,159,205.785,0,0,0
Papua New Guinea,Western Pacific,46842,523.548,0,0,0,670,7.489,0,0,0
Curaçao,Americas,45798,27909.783,0,0,0,301,183.433,0,0,0
Aruba,Americas,44114,41318.397,0,0,0,287,268.812,0,0,0
United Republic of Tanzania,Africa,42973,71.94,0,0,0,846,1.416,0,0,0
Mayotte,Africa,42027,15404.945,0,0,0,187,68.545,0,0,0
Togo,Africa,39487,476.97,9,0.109,0,290,3.503,0,0,0
Guinea,Africa,38462,292.87,0,0,0,467,3.556,0,0,0
Bahamas,Americas,38084,9684.572,0,0,0,844,214.625,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guernsey,Europe,35326,54796.178,0,0,0,67,103.928,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,34228,300.179,2,0.018,0,860,7.542,0,0,0
Mali,Africa,33144,163.667,0,0,0,743,3.669,0,0,0
Cayman Islands,Americas,31472,47888.01,0,0,0,37,56.299,0,0,0
Saint Lucia,Americas,30052,16365.785,0,0,0,409,222.734,0,0,0
Benin,Africa,28014,231.078,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27334,171.985,0,0,0,1361,8.563,0,0,0
Micronesia (Federated States of),Western Pacific,26080,22673.726,0,0,0,64,55.641,0,0,0
Congo,Africa,25192,456.535,3,0.054,0,389,7.05,0,0,0
United States Virgin Islands,Americas,24919,23863.06,12,11.492,0,130,124.491,0,0,0
Solomon Islands,Western Pacific,24575,3577.751,0,0,0,153,22.275,0,0,0
San Marino,Europe,24132,71106.135,45,132.595,0,125,368.319,0,0,0
Timor-Leste,South-East Asia,23428,1776.942,0,0,0,138,10.467,0,0,0
Burkina Faso,Africa,22056,105.515,0,0,0,396,1.894,0,0,0
Liechtenstein,Europe,21464,55395.256,0,0,0,87,224.534,0,0,0
Gibraltar,Europe,20550,60995.518,0,0,0,113,335.401,0,0,0
Grenada,Americas,19693,17501.311,0,0,0,238,211.512,0,0,0
Bermuda,Americas,18860,30285.999,0,0,0,165,264.962,0,0,0
South Sudan,Africa,18368,164.092,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17130,1220.968,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16814,15908.037,0,0,0,12,11.353,0,0,0
Monaco,Europe,16749,42679.136,1,2.548,0,67,170.727,0,0,0
Samoa,Western Pacific,16737,8435.393,0,0,0,31,15.624,0,0,0
Marshall Islands,Western Pacific,16081,27166.605,0,0,0,17,28.719,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Nicaragua,Americas,15697,236.952,6,0.091,0,245,3.698,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Central African Republic,Africa,15367,318.173,0,0,0,113,2.34,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13839,24043.991,0,0,0,41,71.234,0,0,0
Gambia,Africa,12626,522.455,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12300,31816.653,7,18.107,0,46,118.989,0,0,0
Vanuatu,Western Pacific,12016,3912.159,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,11030,25721.748,0,0,0,92,214.542,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9855,47119.292,0,0,0,33,157.781,0,0,0
Saint Vincent and the Grenadines,Americas,9611,8663.241,0,0,0,124,111.772,0,0,0
Niger,Africa,9513,39.299,0,0,0,315,1.301,0,0,0
Guinea-Bissau,Africa,9350,475.101,0,0,0,176,8.943,0,0,0
Comoros,Africa,9109,1047.492,4,0.46,0,160,18.399,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
American Samoa,Western Pacific,8329,15089.588,0,0,0,34,61.598,0,0,0
Liberia,Africa,8090,159.955,0,0,0,294,5.813,0,0,0
Chad,Africa,7820,47.608,0,0,0,194,1.181,0,0,0
Sierra Leone,Africa,7762,97.305,0,0,0,125,1.567,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Cook Islands,Western Pacific,7062,40207.242,0,0,0,2,11.387,0,0,0
Saint Kitts and Nevis,Americas,6598,12404.121,0,0,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6565,16955.938,0,0,0,38,98.146,0,0,0
Sao Tome and Principe,Africa,6562,2994.173,0,0,0,80,36.503,0,0,0
Palau,Western Pacific,5999,33158.302,0,0,0,9,49.746,0,0,0
Saint Barthélemy,Americas,5486,55498.23,1,10.116,0,5,50.582,0,0,0
Nauru,Western Pacific,5393,49778.475,0,0,0,1,9.23,0,0,0
Kiribati,Western Pacific,5025,4206.816,0,0,0,24,20.092,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Wallis and Futuna,Western Pacific,3427,30473.057,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3426,59119.931,0,0,0,2,34.513,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1217,38770.309,0,0,0,6,191.144,0,0,0
Saba,Americas,813,42058.976,0,0,0,2,103.466,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Niue,Western Pacific,747,46168.109,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,5,370.37,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
